,Row_ID,Game_ID,Team,Player_ID,Number,Name,Min,FGM,FGA,FG%,2ptsM,2ptsA,2pts%,3ptsM,3ptsA,3pts%,FTM,FTA,FT%,ORebs,DRebs,Rebs,As,PF,To,Stl,Blks,Pts,y
0,13,01_04_01,ANGOLA,0,TOTALS,ANGOLA,200,26,63,41.3,11,34,32.4,15,29,51.7,6,12,50.0,4,17,21,12,37,11,5,3,73,0
1,26,01_04_01,LITHUANIA,0,TOTALS,LITHUANIA,200,20,50,40.0,14,30,46.7,6,20,30.0,32,50,64.0,18,29,47,12,20,16,5,3,78,1
2,39,01_04_02,ITALY,0,TOTALS,ITALY,200,25,64,39.1,15,33,45.5,10,31,32.3,11,19,57.9,6,25,31,14,24,10,5,0,71,1
3,52,01_04_02,NEW ZEALAND,0,TOTALS,NEW ZEALAND,200,23,63,36.5,14,34,41.2,9,29,31.0,14,19,73.7,7,32,39,15,21,14,2,2,69,0
4,65,01_04_03,CHINA,0,TOTALS,CHINA,200,20,62,32.3,11,36,30.6,9,26,34.6,9,12,75.0,13,23,36,5,23,16,3,0,58,0
5,78,01_04_03,SPAIN,0,TOTALS,SPAIN,200,31,66,47.0,26,41,63.4,5,25,20.0,16,24,66.7,15,26,41,10,16,10,5,1,83,1
6,91,01_04_04,ARGENTINA,0,TOTALS,ARGENTINA,200,30,54,55.6,22,37,59.5,8,17,47.1,15,20,75.0,4,21,25,10,25,14,5,2,83,1
7,104,01_04_04,SERBIA & MONTENEGRO,0,TOTALS,SERBIA & MONTENEGRO,200,28,51,54.9,20,33,60.6,8,18,44.4,18,27,66.7,4,20,24,3,24,11,5,0,82,0
8,117,01_04_05,PUERTO RICO,0,TOTALS,PUERTO RICO,200,31,55,56.4,23,39,59.0,8,16,50.0,22,33,66.7,3,24,27,11,25,18,7,0,92,1
9,130,01_04_05,USA,0,TOTALS,USA,200,26,76,34.2,23,52,44.2,3,24,12.5,18,29,62.1,25,21,46,11,28,22,12,3,73,0
10,143,01_04_06,GREECE,0,TOTALS,GREECE,200,28,54,51.9,24,40,60.0,4,14,28.6,16,25,64.0,9,23,32,9,22,9,9,2,76,1
11,156,01_04_06,AUSTRALIA,0,TOTALS,AUSTRALIA,200,18,47,38.3,14,34,41.2,4,13,30.8,14,16,87.5,5,20,25,2,26,15,4,1,54,0
12,169,01_04_07,NEW ZEALAND,0,TOTALS,NEW ZEALAND,200,23,66,34.8,13,29,44.8,10,37,27.0,6,10,60.0,13,26,39,6,27,19,8,1,62,0
13,182,01_04_07,CHINA,0,TOTALS,CHINA,200,25,60,41.7,24,49,49.0,1,11,9.1,18,29,62.1,9,26,35,11,17,17,4,1,69,1
14,195,01_04_08,AUSTRALIA,0,TOTALS,AUSTRALIA,200,29,59,49.2,22,41,53.7,7,18,38.9,18,30,60.0,9,35,44,8,19,16,5,5,83,1
15,208,01_04_08,ANGOLA,0,TOTALS,ANGOLA,200,19,71,26.8,10,41,24.4,9,30,30.0,12,19,63.2,15,21,36,4,24,11,7,1,59,0
16,221,01_04_09,LITHUANIA,0,TOTALS,LITHUANIA,200,30,56,53.6,14,26,53.8,16,30,53.3,22,35,62.9,8,28,36,16,34,19,12,5,98,1
17,233,01_04_09,PUERTO RICO,0,TOTALS,PUERTO RICO,200,25,64,39.1,13,38,34.2,12,26,46.2,28,38,73.7,11,19,30,7,30,17,14,1,90,0
18,246,01_04_10,SERBIA & MONTENEGRO,0,TOTALS,SERBIA & MONTENEGRO,200,25,53,47.2,15,34,44.1,10,19,52.6,14,23,60.9,10,20,30,13,20,16,3,2,74,1
19,259,01_04_10,ITALY,0,TOTALS,ITALY,200,28,59,47.5,20,41,48.8,8,18,44.4,8,9,88.9,7,17,24,4,27,16,9,1,72,0
20,272,01_04_11,SPAIN,0,TOTALS,SPAIN,200,26,50,52.0,19,35,54.3,7,15,46.7,28,38,73.7,7,17,24,11,20,17,8,6,87,1
21,285,01_04_11,ARGENTINA,0,TOTALS,ARGENTINA,200,30,70,42.9,26,50,52.0,4,20,20.0,12,17,70.6,15,14,29,17,30,19,10,3,76,0
22,298,01_04_12,USA,0,TOTALS,USA,200,27,67,40.3,23,46,50.0,4,21,19.0,19,32,59.4,16,26,42,14,22,19,11,4,77,1
23,311,01_04_12,GREECE,0,TOTALS,GREECE,200,27,61,44.3,19,42,45.2,8,19,42.1,9,15,60.0,4,24,28,15,25,21,11,2,71,0
24,324,01_04_13,SERBIA & MONTENEGRO,0,TOTALS,SERBIA & MONTENEGRO,200,32,58,55.2,24,35,68.6,8,23,34.8,15,20,75.0,6,21,27,8,29,21,5,1,87,0
25,337,01_04_13,NEW ZEALAND,0,TOTALS,NEW ZEALAND,200,33,62,53.2,22,38,57.9,11,24,45.8,13,26,50.0,6,16,22,14,25,12,10,1,90,1
26,350,01_04_14,ITALY,0,TOTALS,ITALY,200,24,68,35.3,12,33,36.4,12,35,34.3,3,3,100.0,16,18,34,8,28,18,12,2,63,0
27,363,01_04_14,SPAIN,0,TOTALS,SPAIN,200,23,51,45.1,21,40,52.5,2,11,18.2,23,33,69.7,10,23,33,6,12,15,9,3,71,1
28,376,01_04_15,USA,0,TOTALS,USA,200,39,68,57.4,36,51,70.6,3,17,17.6,8,15,53.3,8,26,34,23,18,7,7,2,89,1
29,389,01_04_15,AUSTRALIA,0,TOTALS,AUSTRALIA,200,30,60,50.0,18,34,52.9,12,26,46.2,7,13,53.8,4,24,28,15,17,13,1,2,79,0
30,401,01_04_16,PUERTO RICO,0,TOTALS,PUERTO RICO,192,28,60,46.7,22,47,46.8,6,13,46.2,21,28,75.0,11,26,37,12,16,12,8,2,83,1
31,414,01_04_16,ANGOLA,0,TOTALS,ANGOLA,200,30,68,44.1,15,27,55.6,15,41,36.6,5,8,62.5,7,18,25,15,25,12,8,3,80,0
32,427,01_04_17,ARGENTINA,0,TOTALS,ARGENTINA,200,33,70,47.1,27,41,65.9,6,29,20.7,10,16,62.5,14,27,41,17,19,14,9,1,82,1
33,440,01_04_17,CHINA,0,TOTALS,CHINA,200,21,57,36.8,16,33,48.5,5,24,20.8,10,17,58.8,10,20,30,8,20,23,2,1,57,0
34,453,01_04_18,GREECE,0,TOTALS,GREECE,200,26,51,51.0,21,35,60.0,5,16,31.2,19,31,61.3,10,16,26,10,28,16,6,2,76,0
35,466,01_04_18,LITHUANIA,0,TOTALS,LITHUANIA,200,33,55,60.0,20,31,64.5,13,24,54.2,19,26,73.1,10,18,28,17,32,15,9,4,98,1
36,479,01_04_19,AUSTRALIA,0,TOTALS,AUSTRALIA,200,31,65,47.7,22,41,53.7,9,24,37.5,11,18,61.1,9,31,40,14,25,14,2,3,82,0
37,492,01_04_19,PUERTO RICO,0,TOTALS,PUERTO RICO,200,32,66,48.5,27,42,64.3,5,24,20.8,18,26,69.2,6,20,26,11,23,5,7,1,87,1
38,505,01_04_20,SPAIN,0,TOTALS,SPAIN,200,23,53,43.4,22,39,56.4,1,14,7.1,29,37,78.4,6,21,27,8,21,10,8,2,76,1
39,518,01_04_20,SERBIA & MONTENEGRO,0,TOTALS,SERBIA & MONTENEGRO,200,25,57,43.9,18,36,50.0,7,21,33.3,11,14,78.6,8,22,30,10,31,14,5,2,68,0
40,531,01_04_21,NEW ZEALAND,0,TOTALS,NEW ZEALAND,200,31,62,50.0,17,32,53.1,14,30,46.7,18,26,69.2,8,16,24,11,30,12,3,2,94,0
41,544,01_04_21,ARGENTINA,0,TOTALS,ARGENTINA,200,36,60,60.0,30,44,68.2,6,16,37.5,20,33,60.6,8,18,26,20,26,11,4,2,98,1
42,557,01_04_22,CHINA,0,TOTALS,CHINA,200,14,53,26.4,8,40,20.0,6,13,46.2,18,26,69.2,10,22,32,5,18,21,1,1,52,0
43,570,01_04_22,ITALY,0,TOTALS,ITALY,200,35,66,53.0,22,35,62.9,13,31,41.9,6,8,75.0,4,27,31,26,22,9,10,7,89,1
44,583,01_04_23,LITHUANIA,0,TOTALS,LITHUANIA,200,28,54,51.9,15,27,55.6,13,27,48.1,25,31,80.6,9,23,32,7,27,21,4,2,94,1
45,596,01_04_23,USA,0,TOTALS,USA,200,30,67,44.8,22,46,47.8,8,21,38.1,22,33,66.7,15,16,31,11,24,12,13,6,90,0
46,609,01_04_24,ANGOLA,0,TOTALS,ANGOLA,200,19,55,34.5,13,31,41.9,6,24,25.0,12,21,57.1,7,13,20,5,17,15,8,3,56,0
47,622,01_04_24,GREECE,0,TOTALS,GREECE,200,33,64,51.6,24,48,50.0,9,16,56.2,13,16,81.2,13,29,42,10,23,15,10,2,88,1
48,635,01_04_25,SPAIN,0,TOTALS,SPAIN,200,30,59,50.8,16,33,48.5,14,26,53.8,14,21,66.7,4,25,29,10,15,18,7,2,88,1
49,648,01_04_25,NEW ZEALAND,0,TOTALS,NEW ZEALAND,200,31,75,41.3,22,40,55.0,9,35,25.7,13,15,86.7,15,25,40,9,21,13,12,1,84,0
50,661,01_04_26,LITHUANIA,0,TOTALS,LITHUANIA,200,37,68,54.4,27,40,67.5,10,28,35.7,16,21,76.2,9,22,31,13,14,9,8,3,100,0
51,674,01_04_26,AUSTRALIA,0,TOTALS,AUSTRALIA,200,32,71,45.1,21,43,48.8,11,28,39.3,10,15,66.7,12,17,29,8,19,10,4,0,85,1
52,687,01_04_27,USA,0,TOTALS,USA,200,33,60,55.0,30,54,55.6,3,6,50.0,20,26,76.9,16,36,52,16,20,17,9,7,89,1
53,700,01_04_27,ANGOLA,0,TOTALS,ANGOLA,200,19,61,31.1,13,36,36.1,6,25,24.0,9,18,50.0,5,12,17,7,19,12,5,4,53,0
54,713,01_04_28,SERBIA & MONTENEGRO,0,TOTALS,SERBIA & MONTENEGRO,200,25,64,39.1,16,40,40.0,9,24,37.5,7,11,63.6,13,18,31,15,19,9,8,6,66,0
55,726,01_04_28,CHINA,0,TOTALS,CHINA,200,22,54,40.7,17,35,48.6,5,19,26.3,18,20,90.0,8,25,33,8,16,11,5,2,67,1
56,739,01_04_29,ITALY,0,TOTALS,ITALY,200,28,50,56.0,21,35,60.0,7,15,46.7,13,20,65.0,2,30,32,10,15,19,7,3,76,1
57,752,01_04_29,ARGENTINA,0,TOTALS,ARGENTINA,200,31,71,43.7,25,51,49.0,6,20,30.0,7,8,87.5,8,19,27,10,19,13,10,2,75,0
58,765,01_04_30,SERBIA & MONTENEGRO,0,TOTALS,SERBIA & MONTENEGRO,200,30,53,56.6,22,35,62.9,8,18,44.4,17,22,77.3,4,31,35,15,21,12,7,0,85,1
59,778,01_04_30,ANGOLA,0,TOTALS,ANGOLA,200,20,56,35.7,9,27,33.3,11,29,37.9,11,16,68.8,4,17,21,6,19,11,5,2,62,0
60,791,01_04_31,NEW ZEALAND,0,TOTALS,NEW ZEALAND,200,30,66,45.5,21,36,58.3,9,30,30.0,11,18,61.1,6,24,30,11,21,18,7,0,80,0
61,804,01_04_31,AUSTRALIA,0,TOTALS,AUSTRALIA,200,34,69,49.3,18,33,54.5,16,36,44.4,14,18,77.8,10,26,36,15,21,14,11,1,98,1
62,817,01_04_32,SPAIN,0,TOTALS,SPAIN,200,34,70,48.6,27,47,57.4,7,23,30.4,19,23,82.6,10,26,36,3,18,10,4,3,94,1
63,830,01_04_32,USA,0,TOTALS,USA,200,36,71,50.7,24,49,49.0,12,22,54.5,18,25,72.0,11,19,30,16,27,9,8,4,102,0
64,843,01_04_33,LITHUANIA,0,TOTALS,LITHUANIA,200,36,71,50.7,25,51,49.0,11,20,55.0,12,14,85.7,8,27,35,13,20,9,11,4,95,1
65,856,01_04_33,CHINA,0,TOTALS,CHINA,200,24,67,35.8,13,33,39.4,11,34,32.4,16,20,80.0,12,24,36,15,21,15,5,1,75,0
66,869,01_04_34,ITALY,0,TOTALS,ITALY,200,26,57,45.6,21,40,52.5,5,17,29.4,26,31,83.9,9,27,36,12,24,14,6,1,83,1
67,882,01_04_34,PUERTO RICO,0,TOTALS,PUERTO RICO,200,23,61,37.7,16,36,44.4,7,25,28.0,17,25,68.0,11,20,31,6,24,15,9,1,70,0
68,895,01_04_35,GREECE,0,TOTALS,GREECE,200,23,64,35.9,17,34,50.0,6,30,20.0,12,21,57.1,15,23,38,10,29,12,7,2,64,0
69,908,01_04_35,ARGENTINA,0,TOTALS,ARGENTINA,200,23,54,42.6,18,36,50.0,5,18,27.8,18,28,64.3,6,22,28,5,22,7,3,2,69,1
70,921,01_04_36,ITALY,0,TOTALS,ITALY,200,29,61,47.5,11,33,33.3,18,28,64.3,24,28,85.7,9,31,40,12,23,13,6,5,100,0
71,934,01_04_36,LITHUANIA,0,TOTALS,LITHUANIA,200,28,72,38.9,13,37,35.1,15,35,42.9,20,25,80.0,12,18,30,19,27,10,7,1,91,1
72,947,01_04_37,ARGENTINA,0,TOTALS,ARGENTINA,200,32,59,54.2,21,37,56.8,11,22,50.0,14,21,66.7,6,26,32,18,24,20,9,4,89,1
73,960,01_04_37,USA,0,TOTALS,USA,200,32,77,41.6,29,66,43.9,3,11,27.3,14,20,70.0,17,20,37,11,21,14,13,3,81,0
74,973,01_04_38,CHINA,0,TOTALS,CHINA,200,28,58,48.3,16,31,51.6,12,27,44.4,8,10,80.0,4,18,22,10,25,17,2,2,76,0
75,986,01_04_38,SPAIN,0,TOTALS,SPAIN,200,33,65,50.8,28,42,66.7,5,23,21.7,21,26,80.8,12,22,34,18,19,9,7,2,92,1
